"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-3-6","58.63","60.25","60.66","58.09","4.85K","-2.28%"
"2024-3-5","60.00","57.28","61.23","56.73","48.66K","4.75%"
"2024-3-4","57.28","56.40","57.77","53.50","33.98K","1.72%"
"2024-3-1","56.31","56.50","56.84","55.08","22.85K","-0.23%"
"2024-2-29","56.44","57.53","57.81","55.25","27.04K","-1.35%"
"2024-2-28","57.21","56.21","58.87","55.45","38.36K","2.23%"
"2024-2-27","55.96","53.76","56.14","52.45","30.42K","3.96%"
"2024-2-26","53.83","52.11","54.52","51.55","23.89K","2.51%"
"2024-2-23","52.51","52.90","53.01","51.12","26.23K","-0.15%"
"2024-2-22","52.59","54.48","54.48","52.37","22.36K","-3.52%"
"2024-2-21","54.51","54.05","54.98","53.28","18.58K","0.55%"
"2024-2-20","54.21","53.50","55.04","51.86","30.45K","2.01%"
"2024-2-19","53.14","57.11","57.11","52.90","29.61K","-6.95%"
"2024-2-16","57.11","57.95","58.21","56.29","20.13K","-1.45%"
"2024-2-15","57.95","56.44","59.05","56.13","28.07K","2.68%"
"2024-2-14","56.44","56.43","57.57","55.41","23.61K","-0.37%"
"2024-2-13","56.65","57.20","57.89","55.65","23.80K","-0.96%"
"2024-2-12","57.20","58.64","58.80","56.59","24.58K","-2.72%"
"2024-2-9","58.80","60.50","60.50","58.20","26.39K","-3.15%"
"2024-2-8","60.71","62.50","62.50","60.27","26.07K","-2.58%"
"2024-2-7","62.32","63.35","63.68","62.25","17.67K","-1.84%"
"2024-2-6","63.49","62.79","63.97","62.00","19.28K","1.44%"
"2024-2-5","62.59","63.80","64.31","62.07","19.16K","-1.43%"
"2024-2-2","63.50","62.05","64.37","61.90","17.96K","1.89%"
"2024-2-1","62.32","64.16","64.87","62.10","22.15K","-3.23%"
"2024-1-31","64.40","63.90","65.14","62.94","21.32K","0.59%"
"2024-1-30","64.02","61.63","64.02","61.30","22.87K","3.64%"
"2024-1-29","61.77","63.60","64.06","61.58","22.58K","-2.11%"
"2024-1-26","63.10","63.15","65.03","62.10","21.96K","-0.49%"
"2024-1-25","63.41","66.43","66.43","62.90","25.61K","-3.63%"
"2024-1-24","65.80","63.36","66.10","63.16","25.09K","4.00%"
"2024-1-23","63.27","62.00","63.80","61.60","20.28K","1.38%"
"2024-1-22","62.41","63.03","63.03","60.86","21.64K","-1.59%"
"2024-1-19","63.42","63.37","64.23","62.93","15.14K","0.22%"
"2024-1-18","63.28","63.09","64.13","62.50","18.19K","-0.05%"
"2024-1-17","63.31","65.39","66.07","62.86","25.63K","-3.33%"
"2024-1-16","65.49","66.98","67.40","65.05","22.43K","-2.11%"
"2024-1-15","66.90","66.00","67.46","64.61","22.19K","1.66%"
"2024-1-12","65.81","68.05","69.15","64.81","26.80K","-3.08%"
"2024-1-11","67.90","69.80","70.29","66.98","25.23K","-3.01%"
"2024-1-10","70.01","71.82","72.80","69.25","21.79K","-2.84%"
"2024-1-9","72.06","71.99","72.83","71.12","17.19K","0.01%"
"2024-1-8","72.05","75.95","76.02","71.93","20.01K","-5.37%"
"2024-1-5","76.14","75.86","76.77","75.21","11.75K","0.36%"
"2024-1-4","75.87","77.49","78.29","74.90","15.83K","-2.09%"
"2024-1-3","77.49","76.17","77.76","76.01","12.31K","1.73%"
"2024-1-2","76.17","80.50","81.25","74.74","21.84K","-5.01%"
"2023-12-29","80.19","80.17","80.90","79.38","","-0.06%"
"2023-12-28","80.24","79.84","80.42","78.89","12.53K","0.25%"
"2023-12-27","80.04","79.13","80.98","79.03","14.40K","1.14%"
"2023-12-22","79.14","77.80","79.35","76.80","14.36K","1.28%"
"2023-12-21","78.14","75.36","78.70","75.36","24.73K","3.69%"
"2023-12-20","75.36","71.93","75.74","71.87","21.53K","4.77%"
"2023-12-19","71.93","71.83","72.04","70.67","12.54K","0.29%"
"2023-12-18","71.72","67.43","71.72","66.30","18.51K","6.14%"
"2023-12-15","67.57","66.76","67.82","66.23","12.69K","1.26%"
"2023-12-14","66.73","69.12","70.16","65.99","23.65K","-3.12%"
"2023-12-13","68.88","68.21","69.98","68.01","26.59K","0.94%"
"2023-12-12","68.24","67.30","68.60","66.88","23.04K","1.34%"
"2023-12-11","67.34","68.50","68.50","66.26","29.08K","-1.87%"
"2023-12-8","68.62","70.00","70.76","68.45","22.24K","-1.93%"
"2023-12-7","69.97","69.13","70.19","68.65","22.52K","1.46%"
"2023-12-6","68.96","69.11","70.00","68.37","23.02K","0.07%"
"2023-12-5","68.91","70.72","70.88","68.42","30.66K","-2.16%"
"2023-12-4","70.43","72.03","72.08","70.15","31.64K","-2.79%"
"2023-12-1","72.45","70.79","73.13","70.57","21.53K","2.68%"
"2023-11-30","70.56","70.55","71.71","70.45","26.25K","-0.31%"
"2023-11-29","70.78","72.33","73.25","70.56","28.53K","-2.37%"
"2023-11-28","72.50","73.04","73.71","72.01","23.92K","-0.78%"
"2023-11-27","73.07","76.34","76.50","72.79","28.36K","-4.43%"
"2023-11-24","76.46","76.68","77.19","76.00","13.70K","-0.14%"
"2023-11-23","76.57","75.30","77.22","74.88","20.68K","1.96%"
"2023-11-22","75.10","75.37","76.20","74.89","18.87K","-0.15%"
"2023-11-21","75.21","76.61","76.71","75.08","16.44K","-1.89%"
"2023-11-20","76.66","76.63","77.80","76.15","15.54K","0.56%"
"2023-11-17","76.23","77.09","77.68","76.02","15.96K","-1.26%"
"2023-11-16","77.20","79.80","79.89","76.49","23.12K","-3.26%"
"2023-11-15","79.80","78.57","80.27","78.57","20.26K","1.57%"
"2023-11-14","78.57","77.39","79.09","76.60","19.81K","1.99%"
"2023-11-13","77.04","78.50","78.92","76.17","19.75K","-1.86%"
"2023-11-10","78.50","77.69","78.85","76.29","18.97K","1.55%"
"2023-11-9","77.30","75.65","77.69","75.19","22.23K","2.52%"
"2023-11-8","75.40","75.28","76.38","74.84","19.63K","0.05%"
"2023-11-7","75.36","75.71","76.50","74.86","21.35K","-0.69%"
"2023-11-6","75.88","77.48","77.48","75.60","18.33K","-1.71%"
"2023-11-3","77.20","78.61","79.70","77.10","19.75K","-2.35%"
"2023-11-2","79.06","78.35","79.20","76.24","34.24K","0.51%"
"2023-11-1","78.66","79.40","80.16","78.37","19.68K","-0.94%"
"2023-10-31","79.41","78.65","79.50","78.15","21.72K","0.80%"
"2023-10-30","78.78","79.45","80.98","78.48","24.81K","-0.73%"
"2023-10-27","79.36","79.64","80.36","79.30","15.86K","-0.28%"
"2023-10-26","79.58","79.94","80.71","79.49","18.95K","-0.44%"
"2023-10-25","79.93","80.74","80.98","79.75","18.43K","-0.91%"
"2023-10-24","80.66","80.26","81.34","80.21","17.18K","0.45%"
"2023-10-23","80.30","81.39","81.50","80.06","17.53K","-1.68%"
"2023-10-20","81.67","81.98","82.50","81.05","15.05K","-0.40%"
"2023-10-19","82.00","81.70","82.24","80.84","17.07K","0.26%"
"2023-10-18","81.79","82.61","83.35","81.52","15.86K","-1.04%"
"2023-10-17","82.65","83.29","83.66","81.45","16.43K","-0.91%"
"2023-10-16","83.41","85.58","85.93","82.99","18.29K","-2.63%"
"2023-10-13","85.66","85.23","86.60","84.73","22.82K","0.25%"
"2023-10-12","85.45","83.78","85.69","83.50","16.72K","1.99%"
"2023-10-11","83.78","84.68","85.03","83.50","21.43K","-1.13%"
"2023-10-10","84.74","81.87","85.06","81.60","26.15K","3.81%"
