"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-14","66.91","66.69","67.60","66.61","3.11K","0.90%"
"2024-11-13","66.31","67.12","67.24","65.39","34.37K","-1.81%"
"2024-11-12","67.53","67.50","67.77","65.76","33.59K","-0.06%"
"2024-11-11","67.57","67.27","68.80","66.92","32.43K","-0.66%"
"2024-11-8","68.02","66.25","68.28","65.96","36.64K","3.00%"
"2024-11-7","66.04","63.78","66.29","63.65","30.69K","3.58%"
"2024-11-6","63.76","64.00","64.19","62.37","32.21K","-0.84%"
"2024-11-5","64.30","65.46","65.69","64.10","24.33K","-1.41%"
"2024-11-4","65.22","64.09","65.89","64.00","25.33K","2.11%"
"2024-11-1","63.87","63.78","64.96","63.22","24.86K","-1.10%"
"2024-10-31","64.58","65.48","65.95","63.54","27.40K","-1.36%"
"2024-10-30","65.47","66.85","67.19","64.94","25.80K","-2.69%"
"2024-10-29","67.28","66.82","67.75","66.14","33.57K","1.33%"
"2024-10-28","66.40","66.25","66.61","64.61","27.99K","-0.85%"
"2024-10-25","66.97","66.61","67.36","66.08","31.31K","0.51%"
"2024-10-24","66.63","64.95","67.57","64.75","41.94K","2.68%"
"2024-10-23","64.89","62.35","65.36","61.71","30.50K","4.24%"
"2024-10-22","62.25","61.90","62.56","61.29","26.27K","0.79%"
"2024-10-21","61.76","62.45","62.95","61.36","23.68K","-0.83%"
"2024-10-18","62.28","63.00","63.47","62.22","21.06K","-1.11%"
"2024-10-17","62.98","63.03","63.64","62.63","20.47K","-0.08%"
"2024-10-16","63.03","64.84","65.63","62.80","28.45K","-3.16%"
"2024-10-15","65.09","65.41","65.59","64.17","25.00K","-1.33%"
"2024-10-14","65.97","64.75","66.18","63.85","23.33K","2.09%"
"2024-10-11","64.62","64.90","65.09","63.75","25.05K","-0.58%"
"2024-10-10","65.00","62.52","65.21","62.04","30.19K","4.82%"
"2024-10-9","62.01","60.19","62.71","59.95","36.11K","2.85%"
"2024-10-8","60.29","61.92","61.92","60.07","31.76K","-2.38%"
"2024-10-7","61.76","61.52","62.50","60.06","61.01K","-0.47%"
"2024-10-4","62.05","62.04","62.57","61.41","25.34K","-1.13%"
"2024-10-3","62.76","62.56","62.96","62.01","23.40K","0.26%"
"2024-10-2","62.60","63.90","65.04","62.54","35.78K","-1.59%"
"2024-10-1","63.61","65.23","65.23","62.75","48.31K","-2.97%"
"2024-9-30","65.56","66.46","66.97","65.13","25.80K","-1.16%"
"2024-9-27","66.33","66.00","66.46","65.28","21.37K","-0.29%"
"2024-9-26","66.52","65.25","66.75","64.34","31.10K","1.96%"
"2024-9-25","65.24","64.28","65.59","63.65","33.93K","2.14%"
"2024-9-24","63.87","64.21","64.93","63.53","30.76K","-0.36%"
"2024-9-23","64.10","63.70","64.72","63.34","27.18K","1.12%"
"2024-9-20","63.39","63.50","64.15","62.88","24.41K","0.91%"
"2024-9-19","62.82","63.93","65.42","62.39","49.40K","-1.38%"
"2024-9-18","63.70","64.49","64.88","63.21","22.57K","-0.99%"
"2024-9-17","64.34","63.20","65.16","62.45","33.43K","1.79%"
"2024-9-16","63.21","64.85","64.97","63.15","","-2.74%"
"2024-9-13","64.99","65.25","65.94","64.60","25.95K","-0.70%"
"2024-9-12","65.45","66.08","66.43","65.11","24.04K","-1.43%"
"2024-9-11","66.40","65.14","66.53","64.71","31.44K","2.28%"
"2024-9-10","64.92","66.27","67.18","64.76","34.48K","-2.41%"
"2024-9-9","66.52","66.50","67.45","66.06","24.49K","0.03%"
